subject_id,timepoint,age,age_months,understood,understood_only,produced,survey_vocab_max
ID_5EB3EA8A55FF6137,t2,30,30.48,45,27,18,396
ID_5F53DC1BB74A2CCC,t1,22,21.6,29,27,2,396
ID_5F53DC1BB74A2CCC,t2,31,31.2,42,36,6,396
ID_61B73C0C7D09C6FF,t1,25,24.72,200,194,6,396
ID_61B73C0C7D09C6FF,t2,30,30.24,226,225,1,396
ID_63086C7DC9CF472E,t1,19,19.44,53,53,0,396
ID_63086C7DC9CF472E,t2,31,31.44,107,107,0,396
ID_63F16EBB932A965B,t1,21,20.64,14,13,1,396
ID_64CF1042E3515DC2,t1,18,18.36,3,3,0,396
ID_64CF1042E3515DC2,t2,31,31.32,0,0,0,396
ID_685A8773724A1819,t1,63,62.65,432,56,376,396
ID_69A5C12BB2064A77,t1,19,18.96,39,36,3,396
ID_6FC24DA483A1B950,t1,20,19.8,0,0,0,396
ID_6FC24DA483A1B950,t2,31,31.44,0,0,0,396
ID_73779E22708C7C4E,t1,19,19.08,23,22,1,396
ID_73779E22708C7C4E,t2,31,30.6,28,28,0,396
ID_73A2B83BA5881A46,t1,23,23.16,0,0,0,396
ID_73A2B83BA5881A46,t2,31,30.84,181,122,59,396
ID_73DE984098E084AF,t1,22,22.32,19,15,4,396
ID_73DE984098E084AF,t2,30,30.48,38,30,8,396
ID_75E06FF275C07C2E,t1,20,20.28,77,72,5,396
ID_75E06FF275C07C2E,t2,31,30.72,150,143,7,396
ID_7645181DC773EAB3,t1,19,18.72,71,70,1,396
ID_7645181DC773EAB3,t2,30,29.88,237,193,44,396
ID_7A907E6AE8DBA6E7,t1,22,21.84,0,0,0,396
ID_7A907E6AE8DBA6E7,t2,33,33.36,228,186,42,396
ID_7BEBE00D6667DF07,t1,24,23.64,16,14,2,396
ID_7CCB3A85C6942AD3,t1,21,21.24,127,123,4,396
ID_7CCB3A85C6942AD3,t2,31,31.44,190,149,41,396
ID_7D262A32A4255EEE,t1,21,21.48,62,62,0,396
ID_7DDCB36266CB8DFF,t1,21,21.0,14,14,0,396
ID_7F1D0C80B3055372,t1,19,19.08,26,26,0,396
ID_7F1D0C80B3055372,t2,30,30.36,20,18,2,396
ID_80D9B420220D9D19,t1,18,18.48,191,185,6,396
ID_82F8ACBA2675DB5E,t1,20,20.16,5,4,1,396
ID_83468E4036554E05,t1,19,19.2,63,52,11,396
