subject_id,survey,age,sex,noun1c,noun1v,noun1s,noun2c,noun2v,noun2s,noun3c,noun3v,noun3s,noun4c,noun4v,noun4s,noun5c,noun5v,noun5s,noun6c,noun6v,noun6s,noun7c,noun7v,noun7s,noun8c,noun8v,noun8s,noun9c,noun9v,noun9s,noun10c,noun10v,noun10s,tnoun10,noun11v,noun11s,tnoun11,noun12c,noun12v,noun12s,tnoun12,noun13c,noun13v,noun13s,tnoun13,verb14c,verbs14v,verbs14s,tverb14,adjec15c,adject15,adjec15s,tadjec15,noun16c,noun16v,noun16s,tnoun16,pron17c,pron17v,pron17s,tpron17,quest18c,quest18v,quest18s,tquest18,prep19c,prep19v,prep19s,tprep19,quant20c,quant20v,quant20s,tquant20,verb21v,verb21s,tverb21,conn22v,conn22s,tconn22,inounv,inouns,tinoun,iverbv,iverbs,tiverb,onoun,overb,complex,sent,survey_vocab_max,spoken,signed,understood,understood_imputed,produced
ID_383E121F6F235925,WS,84,M,,12,0,,38,0,,11,0,,17,0,,49,0,,23,0,,25,0,,44,0,,28,0,,27,0,27,18,0,18,,27,0,27,,22,0,22,,102,0,102,,62,0,62,,12,0,12,,25,0,25,,7,0,7,,25,0,25,,17,0,17,21,0,21,6,0,6,5,0,5,20,0,20,1,2,37,8,690,612,0,,612,612
ID_DFA7ADDD5664B7D1,WS,84,F,,12,0,,36,0,,14,0,,18,0,,60,0,,26,0,,25,0,,49,0,,32,0,,29,0,29,20,0,20,,26,0,26,,23,0,23,,103,0,103,,62,0,62,,12,0,12,,14,0,14,,7,0,7,,20,0,20,,13,0,13,13,0,13,3,0,3,4,0,4,13,0,13,2,1,37,9,690,614,0,,614,614
ID_D0A22B2F560E6188,WS,84,F,,11,0,,33,0,,9,0,,17,0,,33,0,,18,0,,22,0,,33,0,,14,0,,19,0,19,12,0,12,,16,0,16,,15,0,15,,52,0,52,,27,0,27,0,0,0,0,,5,0,5,0,0,0,0,,6,0,6,,3,0,3,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,2,690,347,0,,347,347
ID_F4BDBCD9829933F5,WS,84,F,,10,0,,21,0,,6,0,,8,0,,26,0,,12,0,,16,0,,18,0,,12,0,,11,0,11,7,0,7,,12,0,12,,13,0,13,,30,0,30,,22,0,22,0,0,0,0,,3,0,3,,4,0,4,,5,0,5,,3,0,3,1,0,1,0,0,0,2,0,2,0,0,0,0,0,4,5,690,240,0,,240,240
ID_A01DD2BA1687DA4C,WS,85,M,,12,0,,20,4,,4,1,,4,3,,10,5,,2,1,,4,1,,4,5,,5,0,,3,3,6,3,0,3,,4,1,5,,10,0,10,,7,4,11,,6,3,9,,0,4,4,,0,1,1,0,0,0,0,,2,0,2,,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,690,101,36,,101,137
ID_BFB65536ED2D1ECE,WS,85,F,,2,0,,14,1,,3,2,,8,1,,13,0,,6,0,,14,0,,10,6,,7,0,,4,0,4,3,0,3,,9,1,10,,11,0,11,,9,0,9,,7,5,12,,3,0,3,,3,2,5,,1,0,1,,7,2,9,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,690,134,21,,134,155
ID_56F8031F1068BBB8,WS,85,M,,12,0,,42,0,,14,0,,18,0,,56,0,,27,0,,26,0,,49,0,,32,0,,31,0,31,19,0,19,,29,0,29,,25,0,25,,103,0,103,,61,0,61,,12,0,12,,25,0,25,,7,0,7,,26,0,26,,17,0,17,21,0,21,6,0,6,4,0,4,17,0,17,0,0,24,10,690,652,0,,652,652
ID_A1DAB6A3C6B7375E,WS,85,M,,4,0,,29,0,,12,0,,10,0,,33,0,,13,0,,25,0,,44,0,,28,0,,27,0,27,7,0,7,,14,0,14,,12,0,12,,32,0,32,,10,0,10,,1,0,1,,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,2,0,0,0,0,0,0,5,690,306,0,,306,306
ID_0F9937906CF19FD3,WS,86,M,,11,0,,37,0,,12,0,,16,0,,46,0,,19,0,,23,0,,35,0,,23,0,,24,0,24,16,0,16,,23,0,23,,17,0,17,,83,0,83,,54,0,54,,7,0,7,,8,0,8,,4,0,4,,18,0,18,,11,0,11,8,0,8,1,0,1,4,0,4,3,0,3,0,0,12,7,690,495,0,,495,495
ID_E6101F6D5E458AA4,WS,87,F,,6,0,,27,0,,11,0,,13,0,,18,0,,13,0,,18,0,,13,0,,24,0,,23,0,23,16,0,16,,19,0,19,,10,0,10,,15,0,15,,23,0,23,,3,0,3,,15,0,15,,4,0,4,,19,0,19,,5,0,5,5,0,5,4,0,4,4,0,4,8,0,8,0,0,0,2,690,300,0,,300,300
ID_C29B269ADDA9D93E,WS,87,M,,11,0,,23,0,,12,0,,14,0,,33,0,,20,0,,23,0,,42,0,,26,0,,26,0,26,18,0,18,,26,0,26,,22,0,22,,92,0,92,,77,0,77,,8,0,8,,4,0,4,,5,0,5,,9,0,9,,9,0,9,5,0,5,1,0,1,2,0,2,1,0,1,0,1,9,2,690,505,0,,505,505
ID_D1F6B44DDE16AAC1,WS,88,F,,12,0,,4,0,,11,0,,18,0,,45,0,,21,0,,24,0,,40,0,,22,0,,26,0,26,16,0,16,,20,0,20,,20,0,20,,89,0,89,,51,0,51,,11,0,11,,15,0,15,,6,0,6,,13,0,13,,8,0,8,11,0,11,1,0,1,4,0,4,9,0,9,0,0,21,5,690,483,0,,483,483
ID_4C7D822E232A76CD,WS,88,M,,7,0,,36,0,,11,0,,17,0,,61,0,,27,0,,26,0,,50,0,,32,0,,29,0,29,18,0,18,,27,0,27,,23,0,23,,99,0,99,,61,0,61,,12,0,12,,21,0,21,,2,0,2,,17,0,17,,12,0,12,21,0,21,6,0,6,3,0,3,17,0,17,0,0,12,7,690,609,0,,609,609
ID_3B3735B15EB81CFF,WS,88,M,,9,0,,27,0,,8,0,,8,0,,33,0,,10,0,,20,0,,32,0,,13,0,,23,0,23,7,0,7,,10,0,10,,13,0,13,,33,0,33,,24,0,24,,3,0,3,,4,0,4,,1,0,1,,2,0,2,,3,0,3,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,5,690,284,0,,284,284
ID_C358C1DB1D90DFB7,WS,88,M,,6,4,,28,6,,12,0,,17,0,,37,0,,15,0,,16,0,,17,7,,10,3,,12,3,15,7,4,11,,14,3,17,,14,3,17,,26,31,57,,26,7,33,,0,4,4,,9,0,9,,2,0,2,,10,8,18,,5,3,8,7,0,7,0,0,0,1,0,1,3,1,4,0,0,0,3,690,290,86,,290,376
ID_980E98CC9657A666,WS,89,M,,12,0,,38,0,,13,0,,17,0,,46,0,,20,0,,20,0,,37,0,,17,0,,23,0,23,17,0,17,,26,0,26,,18,0,18,,76,0,76,,55,0,55,,6,0,6,,21,0,21,,3,0,3,,13,0,13,,13,0,13,15,0,15,1,0,1,5,0,5,13,0,13,0,2,23,9,690,506,0,,506,506
ID_6D035BC41C426D37,WS,90,M,,10,0,,36,0,,9,0,,13,0,,46,0,,20,0,,25,0,,37,0,,19,0,,24,0,24,15,0,15,,21,0,21,,23,0,23,,84,0,84,,50,0,50,,7,0,7,,10,0,10,,6,0,6,,12,0,12,,6,0,6,10,0,10,2,0,2,2,0,2,1,0,1,1,0,10,4,690,483,0,,483,483
ID_5146D264A9478350,WS,90,F,,12,0,,34,0,,11,0,,15,0,,42,0,,22,0,,25,0,,34,0,,21,0,,22,0,22,16,0,16,,21,0,21,,16,0,16,,64,0,64,,41,0,41,,2,0,2,,3,0,3,0,0,0,0,,8,0,8,,4,0,4,3,0,3,0,0,0,2,0,2,8,0,8,0,0,5,6,690,416,0,,416,416
ID_64062D75F094EF3C,WS,90,M,,12,0,,33,0,,10,0,,18,0,,52,0,,24,0,,25,0,,54,0,,22,0,,25,0,25,19,0,19,,25,0,25,,22,0,22,,83,0,83,,45,0,45,,7,0,7,,8,0,8,,4,0,4,,15,0,15,,8,0,8,13,0,13,1,0,1,2,0,2,2,0,2,0,7,9,8,690,524,0,,524,524
ID_1F65A8BAFD005E5D,WS,91,F,,12,0,,43,0,,14,0,,18,0,,65,0,,27,0,,27,0,,50,0,,33,0,,30,0,30,22,0,22,,29,0,29,,25,0,25,,103,0,103,,63,0,63,,12,0,12,,25,0,25,,7,0,7,,26,0,26,,17,0,17,21,0,21,6,0,6,5,0,5,20,0,20,0,0,27,11,690,669,0,,669,669
ID_665DD4EA85A091A9,WS,91,M,,11,0,,36,0,,11,0,,16,0,,50,0,,18,0,,21,0,,33,0,,24,0,,21,0,21,16,0,16,,20,0,20,,20,0,20,,94,0,94,,56,0,56,,3,0,3,,7,0,7,,5,0,5,,9,0,9,0,0,0,0,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0,3,690,475,0,,475,475
ID_0663B891FDEBCC2C,WS,91,M,,11,0,,38,0,,9,0,,14,0,,46,0,,16,0,,23,0,,27,0,,15,0,,18,0,18,13,0,13,,19,0,19,,15,0,15,,41,0,41,,30,0,30,,1,0,1,,6,0,6,,2,0,2,,7,0,7,,1,0,1,5,0,5,1,0,1,2,0,2,0,0,0,0,0,2,4,690,357,0,,357,357
ID_EA96F2F9C953AC98,WS,92,M,,11,0,,34,0,,13,0,,17,0,,53,0,,24,0,,22,0,,45,0,,27,0,,27,0,27,20,0,20,,27,0,27,,21,0,21,,86,0,86,,57,0,57,,10,0,10,,17,0,17,0,0,0,0,,22,0,22,,16,0,16,15,0,15,1,0,1,5,0,5,5,0,5,0,1,16,8,690,564,0,,564,564
ID_D0F1C1DF20447A66,WS,92,F,,11,0,,37,0,,12,0,,18,0,,47,0,,25,0,,25,0,,42,0,,24,0,,26,0,26,14,0,14,,27,0,27,,25,0,25,,100,0,100,,62,0,62,,11,0,11,,22,0,22,,6,0,6,,21,0,21,,15,0,15,20,0,20,3,0,3,5,0,5,10,0,10,0,3,32,9,690,590,0,,590,590
ID_F5E9C74F66C9B383,WS,92,F,,12,0,,21,0,,10,0,,14,0,,47,0,,14,0,,20,0,,35,0,,23,0,,26,0,26,13,0,13,,16,0,16,,17,0,17,,94,0,94,,40,0,40,,8,0,8,,5,0,5,,4,0,4,,10,0,10,0,0,0,0,6,0,6,1,0,1,1,0,1,0,0,0,0,0,5,3,690,435,0,,435,435
ID_A61F8635696EAE8C,WS,92,M,,7,0,,19,0,,9,0,,9,0,,24,0,,13,0,,7,0,,14,0,,6,0,,9,0,9,8,0,8,,11,0,11,,10,0,10,,17,0,17,,23,0,23,0,0,0,0,,2,0,2,0,0,0,0,,7,0,7,,2,0,2,3,0,3,0,0,0,2,0,2,6,0,6,0,1,8,3,690,200,0,,200,200
ID_80294704C52BB1EC,WS,93,M,,9,0,,7,20,,3,7,,7,4,,12,5,,5,1,,4,21,,8,14,,4,5,,6,13,19,4,6,10,,7,13,20,,10,6,16,,1,63,64,,8,27,35,,0,3,3,,3,1,4,,0,2,2,,3,8,11,,2,1,3,0,2,2,0,1,1,1,2,3,0,0,0,0,0,1,7,690,103,222,,222,325
ID_470E7D7E69DC84E4,WS,94,M,,12,0,,31,0,,12,0,,15,0,,53,0,,21,0,,23,0,,40,0,,25,0,,28,0,28,16,0,16,,20,0,20,,23,0,23,,91,0,91,,51,0,51,,5,0,5,,13,0,13,,1,0,1,,11,0,11,,8,0,8,7,0,7,0,0,0,2,0,2,4,0,4,0,0,20,5,690,506,0,,506,506
ID_4D482D6AD3A378F6,WS,94,F,,9,0,,31,0,,8,0,,17,0,,51,0,,21,0,,23,0,,43,0,,21,0,,22,0,22,14,0,14,,22,0,22,,16,0,16,,93,0,93,,50,0,50,,8,0,8,,13,0,13,,4,0,4,,16,0,16,,8,0,8,11,0,11,5,0,5,1,0,1,9,0,9,1,0,15,7,690,501,0,,501,501
ID_4FE28953AD5C5914,WS,95,F,,12,0,,37,0,,12,0,,18,0,,55,0,,24,0,,23,0,,35,0,,22,0,,21,0,21,14,0,14,,18,0,18,,25,0,25,,96,0,96,,53,0,53,,8,0,8,,13,0,13,,5,0,5,,16,0,16,,10,0,10,8,0,8,4,0,4,3,0,3,3,0,3,0,1,23,8,690,525,0,,525,525
ID_719FA88A0862D21A,WS,95,M,,8,0,,23,0,,7,0,,11,0,,35,0,,13,0,,19,0,,28,0,,20,0,,16,0,16,9,0,9,,17,0,17,,18,0,18,,40,0,40,,24,0,24,,4,0,4,,5,0,5,,1,0,1,,7,0,7,,6,0,6,9,0,9,1,0,1,3,0,3,1,0,1,0,0,16,4,690,320,0,,320,320
ID_A01DD2BA1687DA4C,WS,96,M,,10,0,,25,3,,6,2,,10,1,,14,18,,11,3,,9,7,,8,8,,10,5,,6,10,16,7,4,11,,9,2,11,,9,4,13,,6,22,28,,13,7,20,0,0,0,0,,2,0,2,0,0,0,0,,7,0,7,,3,0,3,1,0,1,0,0,0,0,4,4,0,3,3,0,0,0,3,690,166,96,,166,262
ID_76DE7462927AC977,WS,98,M,,12,0,,27,0,,11,0,,9,0,,23,0,,5,0,,16,0,,15,0,,9,0,,3,0,3,3,0,3,,10,0,10,,20,0,20,,22,0,22,,19,0,19,,1,0,1,,2,0,2,,2,0,2,,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,690,215,0,,215,215
ID_92AC5232BD5332B8,WS,101,M,,12,0,,30,0,,12,0,,18,0,,55,0,,26,0,,25,0,,47,0,,29,0,,29,0,29,17,0,17,,26,0,26,,20,0,20,,89,0,89,,48,0,48,,5,0,5,,13,0,13,,2,0,2,,15,0,15,,11,0,11,10,0,10,1,0,1,4,0,4,3,0,3,3,3,28,8,690,539,0,,539,539
ID_6D035BC41C426D37,WS,102,M,,12,0,,42,0,,13,0,,17,0,,49,0,,23,0,,25,0,,44,0,,19,0,,26,0,26,16,0,16,,25,0,25,,21,0,21,,86,0,86,,55,0,55,,8,0,8,,11,0,11,,7,0,7,,17,0,17,,8,0,8,15,0,15,1,0,1,3,0,3,8,0,8,0,2,15,4,690,539,0,,539,539
